N trial threads wall_s user_s kernel_s cpu_total_s checksum seed
400 1 8 0.020682 0.163157 0.000145 0.163302 828679322912 123456789
400 1 16 0.021510 0.168892 0.000228 0.169120 828679322912 123456789
600 1 2 0.204314 0.406913 0.000254 0.407167 146500783793 123456789
600 1 4 0.119908 0.476801 0.000268 0.477069 146500783793 123456789
600 1 8 0.083640 0.622379 0.000428 0.622807 146500783793 123456789
600 1 16 0.072404 0.676316 0.001059 0.677375 146500783793 123456789
800 1 2 0.485504 0.964430 0.000398 0.964828 558985527324 123456789
800 1 4 0.288807 1.154955 0.000181 1.155136 558985527324 123456789
800 1 8 0.213736 1.663073 0.001087 1.664160 558985527324 123456789
800 1 16 0.191123 1.830184 0.002025 1.832209 558985527324 123456789
1000 1 2 0.907044 1.813746 0.000249 1.813995 -203584809775 123456789
1000 1 4 0.605927 2.410325 0.000653 2.410978 -203584809775 123456789
1000 1 8 0.441192 3.468586 0.003058 3.471644 -203584809775 123456789
1000 1 16 0.382398 3.556843 0.004783 3.561626 -203584809775 123456789
2000 1 2 8.064564 16.125553 0.002963 16.128516 -1067493743601 123456789
2000 1 4 5.259489 20.953191 0.005816 20.959007 -1067493743601 123456789
2000 1 8 3.726079 29.439261 0.020002 29.459263 -1067493743601 123456789
2000 1 16 3.208200 31.249454 0.042429 31.291883 -1067493743601 123456789
4000 1 2 161.663265 323.200563 0.075086 323.275649 -4380136852933 123456789
4000 1 4 104.764335 418.387575 0.093847 418.481422 -4380136852933 123456789
4000 1 8 70.566156 561.700525 0.439401 562.139926 -4380136852933 123456789
4000 1 16 56.818574 558.165937 0.857110 559.023047 -4380136852933 123456789
5500 1 2 368.142388 734.540778 0.165316 734.706094 1977819930506 123456789
5500 1 4 244.507925 977.237821 0.228694 977.466515 1977819930506 123456789
5500 1 8 180.760968 1441.210353 1.280752 1442.491105 1977819930506 123456789
5500 1 16 169.371895 1663.070687 3.151327 1666.222014 1977819930506 123456789
6000 1 2 467.754758 934.534591 0.221403 934.755994 -6828338004005 123456789
6000 1 4 306.171532 1223.499005 0.306347 1223.805352 -6828338004005 123456789
6000 1 8 221.982010 1770.499896 1.596113 1772.096009 -6828338004005 123456789
6000 1 16 200.387781 1967.499987 3.736264 1971.236251 -6828338004005 123456789
8000 1 2 1012.472823 2016.584407 0.505662 2017.090069 4274878840897 123456789
8000 1 4 662.147355 2643.071505 0.680861 2643.752366 4274878840897 123456789
8000 1 8 537.039732 4277.540609 4.196339 4281.736948 4274878840897 123456789
8000 1 16 482.848626 4732.997144 9.257266 4742.254410 4274878840897 123456789
