N procesos trial wall_s user_s kernel_s cpu_total_s checksum seed
400 16 1 0.016803 0.000448 0.001644 0.002092 828679322912 123456789
600 8 1 0.063376 0.000271 0.001154 0.001425 146500783793 123456789
600 16 1 0.057792 0.000611 0.002254 0.002865 146500783793 123456789
800 8 1 0.191436 0.000288 0.001159 0.001447 558985527324 123456789
800 16 1 0.164964 0.000606 0.002580 0.003186 558985527324 123456789
1000 8 1 0.361386 0.000318 0.001247 0.001565 -203584809775 123456789
1000 16 1 0.310021 0.000690 0.002675 0.003365 -203584809775 123456789
2000 8 1 3.265882 0.000359 0.001348 0.001707 -1067493743601 123456789
2000 16 1 3.105097 0.000697 0.003262 0.003959 -1067493743601 123456789
4000 8 1 55.292201 0.000268 0.001171 0.001439 -4380136852933 123456789
4000 16 1 50.792978 0.000522 0.002344 0.002866 -4380136852933 123456789
5500 8 1 151.061922 0.000229 0.001050 0.001279 1977819930506 123456789
5500 16 1 156.605558 0.000574 0.002779 0.003353 1977819930506 123456789
6000 8 1 187.899255 0.000247 0.001001 0.001248 -6828338004005 123456789
6000 16 1 195.052767 0.000527 0.002405 0.002932 -6828338004005 123456789
8000 8 1 466.049735 0.000221 0.001031 0.001252 4274878840897 123456789
8000 16 1 481.406063 0.000552 0.002719 0.003271 4274878840897 123456789
400 8 1 0.019356 0.000260 0.001202 0.001462 828679322912 123456789
400 16 1 0.019140 0.000532 0.001835 0.002367 828679322912 123456789
600 8 1 0.067170 0.000311 0.001172 0.001483 146500783793 123456789
600 16 1 0.060659 0.000618 0.002420 0.003038 146500783793 123456789
800 8 1 0.204307 0.000305 0.001314 0.001619 558985527324 123456789
800 16 1 0.203655 0.000664 0.002618 0.003282 558985527324 123456789
1000 8 1 0.374771 0.000347 0.001266 0.001613 -203584809775 123456789
1000 16 1 0.344231 0.000653 0.002603 0.003256 -203584809775 123456789
2000 8 1 3.405303 0.000356 0.001371 0.001727 -1067493743601 123456789
2000 16 1 3.113666 0.000740 0.003258 0.003998 -1067493743601 123456789
4000 8 1 57.809359 0.000245 0.001273 0.001518 -4380136852933 123456789
4000 16 1 55.200961 0.000515 0.002503 0.003018 -4380136852933 123456789
5500 8 1 152.245270 0.000243 0.001061 0.001304 1977819930506 123456789
5500 16 1 161.852702 0.000562 0.002667 0.003229 1977819930506 123456789
6000 8 1 190.454177 0.000194 0.000875 0.001069 -6828338004005 123456789
6000 16 1 194.650971 0.000504 0.002712 0.003216 -6828338004005 123456789
8000 8 1 474.362312 0.000219 0.001141 0.001360 4274878840897 123456789
8000 16 1 492.647938 0.000546 0.002754 0.003300 4274878840897 123456789
