N procesos trial wall_s user_s kernel_s cpu_total_s checksum seed
800 4 1 0.220535 0.000123 0.000417 0.000540 558985527324 123456789
1000 2 1 0.670237 0.000059 0.000230 0.000289 -203584809775 123456789
1000 4 1 0.462281 0.000140 0.000542 0.000682 -203584809775 123456789
2000 2 1 6.257964 0.000060 0.000264 0.000324 -1067493743601 123456789
2000 4 1 4.300309 0.000146 0.000548 0.000694 -1067493743601 123456789
4000 2 1 132.154810 0.000058 0.000267 0.000325 -4380136852933 123456789
4000 4 1 86.257872 0.000100 0.000448 0.000548 -4380136852933 123456789
5500 2 1 312.416425 0.000055 0.000249 0.000304 1977819930506 123456789
5500 4 1 207.726990 0.000100 0.000445 0.000545 1977819930506 123456789
6000 2 1 388.092748 0.000056 0.000252 0.000308 -6828338004005 123456789
6000 4 1 250.932262 0.000105 0.000442 0.000547 -6828338004005 123456789
8000 2 1 820.668243 0.000058 0.000266 0.000324 4274878840897 123456789
8000 4 1 550.831688 0.000106 0.000488 0.000594 4274878840897 123456789
400 2 1 0.033433 0.000044 0.000189 0.000233 828679322912 123456789
400 4 1 0.020204 0.000083 0.000328 0.000411 828679322912 123456789
600 2 1 0.116023 0.000052 0.000238 0.000290 146500783793 123456789
600 4 1 0.066833 0.000090 0.000372 0.000462 146500783793 123456789
800 2 1 0.310598 0.000055 0.000219 0.000274 558985527324 123456789
800 4 1 0.214017 0.000129 0.000500 0.000629 558985527324 123456789
1000 2 1 0.683959 0.000071 0.000327 0.000398 -203584809775 123456789
1000 4 1 0.482214 0.000143 0.000567 0.000710 -203584809775 123456789
2000 2 1 6.362155 0.000065 0.000273 0.000338 -1067493743601 123456789
2000 4 1 4.383057 0.000159 0.000546 0.000705 -1067493743601 123456789
4000 2 1 135.161683 0.000055 0.000266 0.000321 -4380136852933 123456789
4000 4 1 88.574771 0.000095 0.000450 0.000545 -4380136852933 123456789
5500 2 1 315.572557 0.000057 0.000263 0.000320 1977819930506 123456789
5500 4 1 211.766638 0.000097 0.000445 0.000542 1977819930506 123456789
6000 2 1 391.780431 0.000057 0.000273 0.000330 -6828338004005 123456789
6000 4 1 258.900251 0.000094 0.000441 0.000535 -6828338004005 123456789
8000 2 1 856.292747 0.000058 0.000274 0.000332 4274878840897 123456789
8000 4 1 573.400479 0.000098 0.000457 0.000555 4274878840897 123456789
